Tempo de Residência,Concentração
0,19.9
0,24.1
0,33.2
0,29.5
0,27.8
0,20.0
0,27.8
3542,9.5
3542,12.0
3542,9.0
3542,11.2
3542,10.6
3542,12.9
3542,9.8
7085,5.8
7085,10.2
7085,8.6
7085,4.9
7085,11.7
7085,3.7
7085,9.3
10627,1.6
10627,1.7
10627,2.0
10627,1.7
10627,2.2
10627,2.5
10627,2.4
