Tempo de Residência,Concentração
0,"118.0"
0,"113.5"
0,"119.3"
0,"114.8"
0,"117.6"
0,"111.9"
0,"116.3"
3542,"143.0"
3542,"102.3"
3542,"118.5"
3542,"130.7"
3542,"115.9"
3542,"107.4"
3542,"136.2"
7085,"122.0"
7085,"130.6"
7085,"130.4"
7085,"123.1"
7085,"127.9"
7085,"131.1"
7085,"129.5"
10627,"159.0"
10627,"128.3"
10627,"145.7"
10627,"137.5"
10627,"116.8"
10627,"153.2"
10627,"122.9"
