Tempo de Residência,1/Ct
0,"0.0085"
0,"0.0088"
0,"0.0084"
0,"0.0087"
0,"0.0085"
0,"0.0089"
0,"0.0086"
3542,"0.0070"
3542,"0.0098"
3542,"0.0084"
3542,"0.0077"
3542,"0.0086"
3542,"0.0093"
3542,"0.0073"
7085,"0.0082"
7085,"0.0077"
7085,"0.0077"
7085,"0.0081"
7085,"0.0078"
7085,"0.0076"
7085,"0.0077"
10627,"0.0063"
10627,"0.0078"
10627,"0.0069"
10627,"0.0073"
10627,"0.0086"
10627,"0.0065"
10627,"0.0081"
