Tempo de Residência,1/Ct
0,"0.0089"
0,"0.0087"
0,"0.0085"
3542,"0.0081"
3542,"0.0092"
3542,"0.0079"
7085,"0.0076"
7085,"0.0078"
7085,"0.0074"
10627,"0.0066"
10627,"0.0075"
10627,"0.0064"
