Tempo de Residência,ln[C]
0,"3.9120"
0,"3.9120"
0,"3.8918"
0,"3.9120"
0,"3.9120"
0,"3.9120"
0,"3.8712"
"21.3","3.6558"
"21.3","3.7448"
"21.3","3.6763"
"21.3","3.7160"
"21.3","3.6055"
"21.3","3.7887"
"21.3","3.6270"
"42.5","3.3429"
"42.5","3.3911"
"42.5","3.4045"
"42.5","3.3142"
"42.5","3.4275"
"42.5","3.3638"
"42.5","3.3742"
"63.8","3.0106"
"63.8","2.9285"
"63.8","3.1398"
"63.8","3.0681"
"63.8","2.9857"
"63.8","3.1091"
"63.8","2.8848"
