Medição,Entrada (Am3),Ponto 1 (Am4),Ponto 2 (Am5),Saída
1,"118,0","143,0","122,0","159,0"
2,"113,5","102,3","130,6","128,3"
3,"119,3","118,5","130,4","145,7"
4,"114,8","130,7","123,1","137,5"
5,"117,6","115,9","127,9","116,8"
6,"111,9","107,4","131,1","153,2"
7,"116,3","136,2","129,5","122,9"
8,"112,6","122,8","132,3","150,4"
9,"115,0","108,6","128,9","134,1"
10,"118,0","127,1","135,9","157,3"
