Medição,Entrada (Am3),Ponto 1 (Am4),Ponto 2 (Am5),Saída
8,"47,0","40,4","27,8","24,0"
9,"51,0","43,0","31,0","19,3"
10,"46,0","41,9","29,4","23,6"
