Medição,Entrada (Am3),Ponto 1 (Am4),Ponto 2 (Am5),Saída
8,"112,6","122,8","132,3","150,4"
9,"115,0","108,6","128,9","134,1"
10,"118,0","127,1","135,9","157,3"
