Tempo de Residência,1/Ct
0,"0.02128"
0,"0.01961"
0,"0.02174"
21.3,"0.02475"
21.3,"0.02326"
21.3,"0.02387"
42.5,"0.35971"
42.5,"0.03226"
42.5,"0.03401"
63.8,"0.04167"
63.8,"0.05181"
63.8,"0.04237"
