Tempo de Residência,Concentração
0.0,47.0
0.0,51.0
0.0,46.0
21.3,40.4
21.3,43.0
21.3,41.9
42.5,27.8
42.5,31.0
42.5,29.4
63.8,24.0
63.8,19.3
63.8,23.6
