Tempo de Residência,ln[C]
0,"4.7707"
0,"4.7314"
0,"4.7816"
0,"4.7432"
0,"4.7673"
0,"4.7176"
0,"4.7562"
3542,"4.9628"
3542,"4.6279"
3542,"4.7749"
3542,"4.8729"
3542,"4.7527"
3542,"4.6766"
3542,"4.9141"
7085,"4.8040"
7085,"4.8721"
7085,"4.8706"
7085,"4.8130"
7085,"4.8512"
7085,"4.8760"
7085,"4.8637"
10627,"5.0689"
10627,"4.8544"
10627,"4.9815"
10627,"4.9236"
10627,"4.7605"
10627,"5.0317"
10627,"4.8114"
