Tempo de Residência,ln[C]
0,4.7238
0,4.7449
0,4.7707
3542,4.8106
3542,4.6877
3542,4.8450
7085,4.8851
7085,4.8590
7085,4.9119
10627,5.0133
10627,4.8986
10627,5.0582
