Tempo de Residência,1/Ct
0,"0.0200"
0,"0.0200"
0,"0.0204"
0,"0.0200"
0,"0.0200"
0,"0.0200"
0,"0.0208"
"21.3","0.0258"
"21.3","0.0236"
"21.3","0.0253"
"21.3","0.0243"
"21.3","0.0272"
"21.3","0.0226"
"21.3","0.0266"
"42.5","0.0353"
"42.5","0.0337"
"42.5","0.0332"
"42.5","0.0364"
"42.5","0.0325"
"42.5","0.0346"
"42.5","0.0342"
"63.8","0.0493"
"63.8","0.0535"
"63.8","0.0433"
"63.8","0.0465"
"63.8","0.0505"
"63.8","0.0446"
"63.8","0.0559"
