Tempo de Residência,ln[C]
0,"3.5056"
0,"3.3673"
0,"3.6636"
3542,"2.5649"
3542,"2.1041"
3542,"2.3026"
7085,"1.8718"
7085,"1.9459"
7085,"2.3979"
10627,"0.6931"
10627,"0.8755"
10627,"0.9933"
