Tempo de Residência,1/Ct
0,"0.0300"
0,"0.0345"
0,"0.0256"
3542,"0.0769"
3542,"0.1220"
3542,"0.1000"
7085,"0.1538"
7085,"0.1429"
7085,"0.0909"
10627,"0.5000"
10627,"0.4167"
10627,"0.3704"
