Tempo de Residência,Concentração
0,"112.6"
0,"115.0"
0,"118.0"
3542,"122.8"
3542,"108.6"
3542,"127.1"
7085,"132.3"
7085,"128.9"
7085,"135.9"
10627,"150.4"
10627,"134.1"
10627,"157.3"
